VarTGP,VarGP,ExactGP,Dataset
0.8277848362922668,0.727702796459198,0.7808057069778442,CrossedBarrel_dataset.csv
0.5002313852310181,0.5895226001739502,0.6977140307426453,CrossedBarrel_dataset.csv
0.4633817672729492,0.5059157013893127,0.7421518564224243,CrossedBarrel_dataset.csv
1.1332019567489624,0.9345320463180542,1.3525164127349854,CrossedBarrel_dataset.csv
0.40647968649864197,0.5032554268836975,0.6080948114395142,CrossedBarrel_dataset.csv
0.6509113311767578,0.6325780153274536,0.7409125566482544,CrossedBarrel_dataset.csv
0.6675838828086853,0.6873475909233093,0.7419594526290894,CrossedBarrel_dataset.csv
0.7499896287918091,0.7349163293838501,1.0277140140533447,CrossedBarrel_dataset.csv
0.42915135622024536,0.38330715894699097,0.5216479301452637,CrossedBarrel_dataset.csv
0.8014984130859375,0.6169257760047913,0.5736899971961975,CrossedBarrel_dataset.csv
0.6550728678703308,0.6593109369277954,0.6194252371788025,CrossedBarrel_dataset.csv
0.6521502137184143,0.6713142991065979,0.6448445320129395,CrossedBarrel_dataset.csv
1.0915220975875854,1.0979689359664917,1.234917402267456,CrossedBarrel_dataset.csv
0.5702870488166809,0.5348918437957764,0.5332750082015991,CrossedBarrel_dataset.csv
0.5662859678268433,0.5500577092170715,0.5087851881980896,CrossedBarrel_dataset.csv
